Наименование услуги;Год предоставления услуги;Стоимость услуги
Билет на массовое катание для взрослых;2020 г.;100
Льготный билет на массовое катание;2020 г.;50
Прокат коньков;2020 г.;80
Абонемент на 1 месяц без проката коньков;2020 г.;1000
Абонемент на 1 месяц с прокатом коньков;2020 г.;1900
Заточка коньков;2020 г.;120
Разогрев 1 пары фигурных и хоккейных ботинок в термопечи;2020 г.;250
Билет на массовое катание для взрослых;2023 г.;150
Льготный билет на массовое катание;2023 г.;75
Прокат коньков;2023 г.;150
Абонемент на 1 месяц без проката коньков;2023 г.;1800
Абонемент на 1 месяц с прокатом коньков;2023 г.;3000
Заточка коньков;2023 г.;200
Разогрев 1 пары фигурных и хоккейных ботинок в термопечи;2023 г.;300
