Спортивный комплекс;Предоставляемая услуга;Количество занятий;Стоимость
ГАУ РМ «Ледовый дворец»;Тренажерный зал;1 занятие;250
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Клубная карта на 1 месяц;1600
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Льготный 1 месяц;800
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Абонемент на 3 месяца;4500
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Абонемент на 6 месяцев;8500
АУ РМ «СК «Мордовия;Тренажерный зал;1 занятие;350
АУ РМ «СК «Мордовия;Тренажерный зал;Клубная карта на 1 месяц;2100
АУ РМ «СК «Мордовия;Тренажерный зал;Льготный 1 месяц;1050
АУ РМ «СК «Мордовия;Тренажерный зал;Абонемент на 3 месяца;5000
АУ РМ «СК «Мордовия;Тренажерный зал;Абонемент на 6 месяцев;9000
ГАУ РМ «Ледовый дворец»;Фитнес;1 занятие;250
ГАУ РМ «Ледовый дворец»;Фитнес;Клубная карта на 1 месяц;1800
ГАУ РМ «Ледовый дворец»;Фитнес;Льготный 1 месяц;1100
ГАУ РМ «Ледовый дворец»;Фитнес;Абонемент на 3 месяца;4500
ГАУ РМ «Ледовый дворец»;Фитнес;Абонемент на 6 месяцев;8500
АУ РМ «СК «Мордовия;Фитнес;1 занятие;300
АУ РМ «СК «Мордовия;Фитнес;Клубная карта на 1 месяц;2000
АУ РМ «СК «Мордовия;Фитнес;Льготный 1 месяц;1000
АУ РМ «СК «Мордовия;Фитнес;Абонемент на 3 месяца;5000
АУ РМ «СК «Мордовия;Фитнес;Абонемент на 6 месяцев;8500
ГАУ РМ «Ледовый дворец»;Солярий;1 мин.;15
ГАУ РМ «Ледовый дворец»;Солярий;60 мин.;600
АУ РМ «СК «Мордовия;Солярий;1 мин.;17
АУ РМ «СК «Мордовия;Солярий;60 мин.;900
