Спортивный комплекс;Предоставляемая услуга;Количество занятий;Стоимость
ГАУ РМ «Ледовый дворец»;Тренажерный зал;1 занятие;250
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Клуб карта на 1 мес;1600
ГАУ РМ «Ледовый дворец»;Тренажерный зал;льготный 1 мес              ;800
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Абонемент на 3 мес;4500
ГАУ РМ «Ледовый дворец»;Тренажерный зал;Абонемент на 6 мес;8500
АУ РМ «СК «Мордовия;Тренажерный зал;1 занятие;350
АУ РМ «СК «Мордовия;Тренажерный зал;Клуб карта на 1 мес;2100
АУ РМ «СК «Мордовия;Тренажерный зал;льготный 1 мес            ;1050
АУ РМ «СК «Мордовия;Тренажерный зал;Абонемент на 3 мес;5000
АУ РМ «СК «Мордовия;Тренажерный зал;Абонемент на 6 мес;9000
ГАУ РМ «Ледовый дворец»;Фитнес;1 занятие;250
ГАУ РМ «Ледовый дворец»;Фитнес;Клуб карта 1 мес;1800
ГАУ РМ «Ледовый дворец»;Фитнес;льготный 1 мес  ;1100
ГАУ РМ «Ледовый дворец»;Фитнес;Абонемент 3 мес;4500
ГАУ РМ «Ледовый дворец»;Фитнес;Абонемент  6 мес;8500
АУ РМ «СК «Мордовия;Фитнес;1 занятие;300
АУ РМ «СК «Мордовия;Фитнес;Клуб карта 1 мес;2000
АУ РМ «СК «Мордовия;Фитнес;льготный 1 мес           ;1000
АУ РМ «СК «Мордовия;Фитнес;Абонемент 3 мес;5000
АУ РМ «СК «Мордовия;Фитнес;Абонемент 6 мес;8500
ГАУ РМ «Ледовый дворец»;Солярий;1 мин.;15
ГАУ РМ «Ледовый дворец»;Солярий;60 мин.;600
АУ РМ «СК «Мордовия;Солярий;1 мин.;17
АУ РМ «СК «Мордовия;Солярий;60 мин.;900
